avgAnnCount,avgDeathsPerYear,TARGET_deathRate,incidenceRate,medIncome,popEst2015,povertyPercent,studyPerCap,binnedInc,MedianAge,MedianAgeMale,MedianAgeFemale,Geography,AvgHouseholdSize,PercentMarried,PctNoHS18_24,PctHS18_24,PctSomeCol18_24,PctBachDeg18_24,PctHS25_Over,PctBachDeg25_Over,PctEmployed16_Over,PctUnemployed16_Over,PctPrivateCoverage,PctPrivateCoverageAlone,PctEmpPrivCoverage,PctPublicCoverage,PctPublicCoverageAlone,PctMarriedHouseholds,BirthRate
1397,469,164.9,489.8,61898,260131,11.2,499.7482038,"(61494.5, 125635]",39.3,36.9,41.7,"Kitsap County, Washington",2.54,52.5,11.5,39.5,42.1,6.9,23.2,19.6,51.9,8,75.1,,41.6,32.9,14,52.85607588,6.118831029
173,70,161.3,411.6,48127,43269,18.6,23.11123437,"(48021.6, 51046.4]",33,32.2,33.7,"Kittitas County, Washington",2.34,44.5,6.1,22.4,64,7.5,26,22.7,55.9,7.8,70.2,53.8,43.6,31.1,15.3,45.37250044,4.333095578
102,50,174.7,349.7,49348,21026,14.6,47.56016361,"(48021.6, 51046.4]",45,44,45.8,"Klickitat County, Washington",2.62,54.2,24,36.6,,9.5,29,16,45.9,7,63.7,43.5,34.9,42.1,21.1,54.44486837,3.729487817
427,202,194.8,430.4,44243,75882,17.1,342.6372526,"(42724.4, 45201]",42.8,42.2,43.4,"Lewis County, Washington",2.52,52.7,20.2,41.2,36.1,2.5,31.6,9.3,48.3,12.1,58.4,40.3,35,45.3,25,51.02151448,4.603840773
57,26,144.4,350.1,49955,10321,12.5,0,"(48021.6, 51046.4]",48.3,47.8,48.9,"Lincoln County, Washington",2.34,57.8,14.9,43,40,2,33.4,15,48.2,4.8,61.6,43.9,35.1,44,22.7,54.02745995,6.796657382
428,152,176,505.4,52313,61023,15.6,180.259902,"(51046.4, 54545.6]",45.4,43.5,48,"Mason County, Washington",2.58,50.4,29.9,35.1,,4.5,30.4,11.9,44.1,12.9,60,38.8,32.6,43.2,20.2,51.22035959,4.964476021
250,97,175.9,461.8,37782,41516,23.2,0,"(37413.8, 40362.7]",42.6,42.2,43.5,"Okanogan County, Washington",2.42,54.1,26.1,41.4,,5.8,29.8,11.9,51.8,8.9,49.5,35,28.3,46.4,28.7,51.01389975,4.204317269
146,71,183.6,404,40189,20848,17.8,0,"(37413.8, 40362.7]",51.7,50.8,52.5,"Pacific County, Washington",2.24,52.7,27.3,33.9,36.5,2.2,31.6,11.3,40.9,8.9,55.8,33.1,25.9,50.9,24.1,48.96703297,5.889178996
88,36,190.5,459.4,42579,13088,22.3,0,"(40362.7, 42724.4]",49.3,48.4,49.8,"Pend Oreille County, Washington",2.38,55.9,34.7,39.4,,1.4,32.2,12,39.5,10.3,55.5,37.8,29.9,48.1,26.6,53.44699778,5.587583149
4025,1380,177.8,510.9,60397,843954,13.1,427.7484318,"(54545.6, 61494.5]",35.8,34.7,37,"Pierce County, Washington",2.65,50,15.6,36.3,,7.1,28.8,16.2,56.6,9.2,69.9,,44.4,31.4,16.5,50.06357342,5.533430211
113,36,121.4,413.3,54721,16252,12.7,0,"(54545.6, 61494.5]",54.4,54,54.6,"San Juan County, Washington",2.04,56.8,17.7,32.4,,5.2,17.2,26.2,54.6,5.9,67.2,,27.9,41.6,18.3,50.0389206,4.586129754
740,269,172.7,499.3,51395,121846,15.7,837.1222691,"(51046.4, 54545.6]",41,40,42.2,"Skagit County, Washington",2.56,53.6,25.5,33.8,37.6,3.1,26.7,15.9,,8.2,64.4,,38,38.1,20.2,52.93732685,5.818153266
55,26,188.3,398.9,52673,11339,12.6,0,"(51046.4, 54545.6]",45.2,44.9,45.5,"Skamania County, Washington",2.49,54.4,20,43.8,,2.4,29.2,14.2,51.5,8.3,64.4,49.7,42.6,36.1,20.5,52.94771969,4.805591962
3438,1118,165.3,493.4,71890,772501,9.9,138.5111476,"(61494.5, 125635]",37.6,36.6,38.7,"Snohomish County, Washington",2.68,52.1,15.4,33.3,,8.3,24.3,20.9,62.1,7.5,73.3,61.6,54.3,25.9,14.1,52.72049671,4.729251068
2265,901,171,440.7,50083,490945,16.3,462.3735856,"(48021.6, 51046.4]",37.2,35.7,38.7,"Spokane County, Washington",2.45,49.4,10.9,29.3,51.2,8.6,25.7,18.1,55.1,8.4,65.2,50.6,42.5,36.5,21.4,48.18837711,5.355835918
251,106,174.2,423.8,43823,43791,19.3,0,"(42724.4, 45201]",46.2,45.6,46.8,"Stevens County, Washington",2.44,57.2,25.1,35.3,,3.9,34.4,10.7,46.3,9.4,58.3,39.3,33.9,45.8,24.1,55.21239889,3.631082062
1390,483,169.9,495.9,61653,269536,11.9,207.7644545,"(61494.5, 125635]",38.5,37.1,39.9,"Thurston County, Washington",2.52,52.4,14.8,31.7,46.2,7.4,22.7,20.3,56.5,8.5,74.5,55.4,43.5,30.7,13.7,50.87449211,5.180155167
32,12,153.8,463.2,51022,4042,13.9,0,"(48021.6, 51046.4]",52.1,51.5,53.1,"Wahkiakum County, Washington",2.31,53.5,37.2,20.8,37.8,4.2,33.1,10.1,35.7,10.6,64.7,38.6,35.2,49.7,20.4,53.37995338,0.535475234
305,120,162.8,442.5,49819,60338,15.7,464.0525042,"(48021.6, 51046.4]",36.9,35.5,39.1,"Walla Walla County, Washington",2.5,46.5,13.7,29.2,,5.6,22.6,16.4,54.5,6.4,65.7,47.6,40,38,18.8,49.3270649,4.138710893
1081,367,163.3,490.9,53733,212284,15.7,249.6655424,"(51046.4, 54545.6]",36.5,35.6,37.5,"Whatcom County, Washington",2.53,47.5,9.4,22.1,,7.7,23,21.3,57.8,8.2,68.7,54.6,44.8,31.9,17.4,48.06875024,4.4729858
134,50,140.8,390.5,41837,48177,28.4,0,"(40362.7, 42724.4]",24.2,24.4,23.9,"Whitman County, Washington",2.31,36.1,1.2,16.4,,10.3,17.4,25.7,53.4,8.8,78.3,66.2,53.8,22.9,11.9,40.55405483,3.304159034
958,403,169.4,411,44342,248830,20.5,301.4106016,"(42724.4, 45201]",32.5,31.6,33.6,"Yakima County, Washington",3.05,48.6,28.7,39.3,,3,27.8,9.8,56,9,54.6,42.3,30.8,35.7,22.4,50.66898414,6.560611666
94,41,189.7,445.2,35615,16704,21.5,0,"(34218.1, 37413.8]",41.5,40.9,42.1,"Barbour County, West Virginia",2.68,52,9.8,36.1,45.8,8.3,47.1,7.9,46.5,9,55.6,40.1,36.5,44.8,26.4,55.28885946,2.292860865
499,215,206.1,463.1,56737,111901,13.2,89.3647063,"(54545.6, 61494.5]",38.4,38,38.6,"Berkeley County, West Virginia",0.0263,51.8,17,40.8,32.2,10,38.2,12.7,58.7,9.7,70,,49.7,33.1,17.3,51.52350516,4.872468117
152,70,236.7,501.8,37625,23372,22.1,0,"(37413.8, 40362.7]",41.9,41.2,43.2,"Boone County, West Virginia",2.5,55.2,21.3,42.9,,5.2,49.4,5.4,39.5,9.2,60.2,42.8,41.3,46.3,25.4,53.06378967,4.220287661
80,40,196.3,396.6,33817,14415,22.2,0,"[22640, 34218.1]",44.5,43.7,45.3,"Braxton County, West Virginia",2.51,52.4,32.6,46.2,,3.4,49.1,8.5,44.3,14.4,56.1,41.9,38.9,43.4,25.4,53.27269485,5.469020422
164,69,186.2,481.6,43572,23350,15.1,0,"(42724.4, 45201]",45.9,44.1,48,"Brooke County, West Virginia",2.26,50.3,11.1,30.6,,3.8,43.7,11,51.9,6.4,68.3,49.5,46.4,39.7,19.4,47.58723829,4.970530452
564,237,194,483.4,34887,96844,21.9,330.4283177,"(34218.1, 37413.8]",38.5,36.9,39.9,"Cabell County, West Virginia",2.32,43,9.7,28.2,,11.5,31.9,14.8,50.3,6.8,63.3,48.2,44.4,39,21.7,40.76501639,4.521925134
50,25,226.5,459.9,32162,7470,21.8,0,"[22640, 34218.1]",47,47.6,46.5,"Calhoun County, West Virginia",2.44,55.7,11.6,31.4,,0,48.9,7.6,39.9,18.1,52.4,36.5,35.1,46,25.2,53.33333333,4.780114723
70,26,212.9,591,32961,8910,25.1,4938.271605,"[22640, 34218.1]",43.3,43.4,43.3,"Clay County, West Virginia",2.62,55.8,19.5,51.1,,0,49.1,5.8,39.6,12.3,48.7,33.7,32.6,52,32.5,58.09248555,8.753056235
25,19,185.6,234,41838,8176,17.4,0,"(40362.7, 42724.4]",43.7,41.8,45.5,"Doddridge County, West Virginia",2.85,45.8,26.2,61.7,10.1,1.9,44.3,8.8,41,6.5,55.2,37.7,35.5,45.2,25.4,53.92670157,6.016466118
280,137,217,457,36739,44997,21.4,0,"(34218.1, 37413.8]",43.2,42,45.1,"Fayette County, West Virginia",2.47,50.9,17.3,49.3,,4.4,44.4,8.4,42.6,9.2,53.4,36.1,34,47.8,27.8,49.88397759,6.526136485
45,21,209.9,463.1,32705,8518,28.9,0,"[22640, 34218.1]",38.4,37.4,41.2,"Gilmer County, West Virginia",2.4,43.2,7.8,29.4,,3.9,36.6,9.8,37.1,9.4,61.3,,41.2,39,18.8,52.58746356,2.328431373
58,22,128,356.3,41039,11766,17,0,"(40362.7, 42724.4]",45.6,45.5,45.7,"Grant County, West Virginia",0.028,50.5,16.3,41.5,33.8,8.4,50.2,7,51.3,6.7,65.1,48,44.5,42.4,21.2,55.4011976,3.528435035
250,103,195.1,494.9,36996,35516,21.1,0,"(34218.1, 37413.8]",45.3,44.6,46.7,"Greenbrier County, West Virginia",2.28,52.2,22.4,36.6,27.8,13.3,44,11.2,48.2,7.2,61.9,43.3,39.1,43,22.1,47.48027903,4.354354354
145,66,212.1,475.1,35980,23353,21.2,0,"(34218.1, 37413.8]",44.6,44,45.1,"Hampshire County, West Virginia",2.25,38.7,21.5,47.4,,5.3,50,6.9,46,8.1,50.5,38.2,35.6,44.7,31.1,33.68648224,2.28320067
218,85,184.1,495,48178,29815,12.9,0,"(48021.6, 51046.4]",45.6,44.1,47.9,"Hancock County, West Virginia",2.32,51.8,20,23.8,,14.8,42.8,12.6,53.2,7.2,69.5,50.3,46.7,37.6,17.1,48.44113541,5.693029274
68,29,153,374.9,41010,13852,15.3,0,"(40362.7, 42724.4]",44.5,44.2,45,"Hardy County, West Virginia",2.69,50.1,24.9,54.2,,3.9,47.7,9.3,53.7,7.9,65.8,,46.9,38.2,19.1,51.41582622,2.955003358
449,192,206.7,506.6,42121,68714,13.9,160.0838257,"(40362.7, 42724.4]",42,40.5,43.5,"Harrison County, West Virginia",2.48,52.4,17.7,38.6,34.2,9.5,39.5,13.5,53,7.4,64,47.3,44,39.5,21.3,49.69820377,5.060383303
182,78,194.2,475.8,41121,29237,16.7,0,"(40362.7, 42724.4]",42.6,41.2,44.1,"Jackson County, West Virginia",2.62,54.5,13.7,41.2,35.9,9.2,41.1,11.7,46.8,6.8,66.9,48.8,45.6,40.6,21.3,55.45062062,4.735242361
245,101,178.2,423.7,66950,56482,10.2,0,"(61494.5, 125635]",39.7,39.9,39.3,"Jefferson County, West Virginia",2.65,53.3,14.1,24.5,55.3,6.2,32.1,18.2,60.3,8.4,73.3,58.6,53.8,29.2,14.6,54.09965078,4.995519713
1285,539,205.4,508.7,43936,188332,16.8,191.1517958,"(42724.4, 45201]",42.8,40.9,44.3,"Kanawha County, West Virginia",2.28,47.9,20.4,33,,7.6,37.3,14.7,54.1,7,66,48.6,45.4,39.4,20.4,43.74346505,4.091266719
124,50,218.4,553,40568,16448,20,0,"(40362.7, 42724.4]",43.3,42.2,44.7,"Lewis County, West Virginia",2.48,50.6,15.6,41.8,,9.8,49.7,9.3,47.1,7.2,56.4,39.4,35.5,46.8,26.9,49.87741342,4.374100719
